Temperature,Rainfall,Soil_Type_Index,Humidity,Yield
29.4901424590337,154.91030728395285,1,64.89676247769061,5.5
27.585207096486446,146.79458855616983,3,69.70939619375861,5.5
29.94306561430208,197.5895378009768,1,66.26186185828647,5.5
32.569089569224076,226.64155707131104,4,72.20886785974304,5.5
27.29753987582999,184.34234720673084,3,77.59775830966075,5.5
27.29758912915246,200.57718755852315,4,56.28629756577972,5.5
32.737638446522176,139.12978838467927,3,72.30864786868364,5.5
30.302304187458727,156.27024030695674,3,61.43693195115335,5.5
26.591576842195146,224.286603679982,3,71.6493834770424,5.5
29.627680130757895,176.33557301291142,4,83.4365857365307,5.5
26.609746921562614,137.89850621185923,1,71.30772004917627,5.5
26.60281073928923,151.62752773936876,1,66.33009085091932,5.5
28.725886814698104,201.85756451522752,1,65.15544832259937,5.5
22.260159266026605,206.31135051620745,0,74.61279539843696,5.5
22.8252465024609,107.8934429190113,4,71.42113481287431,5.5
26.313137412277083,168.12956375234353,2,78.36203705724589,5.5
24.961506638996728,149.60785787233442,3,65.30142846515335,5.5
28.94274199778582,146.7232075948146,1,88.61137852549126,5.5
25.27592777343637,216.5153975215358,2,77.2171997510967,5.5
23.763088895994127,138.1230930053037,1,53.13630305643993,5.5
32.39694630676466,121.22114483624392,4,77.84550002623047,5.5
27.322671098540393,109.25043478157428,2,67.98604736592483,5.5
28.20258461406377,141.27265343971777,2,60.967735423572385,5.5
23.72575544135963,113.23768656109225,2,69.9579335411229,5.5
26.36685182642445,106.76091187304738,3,64.30204270558751,5.5
28.3327677691296,105.50149371664529,1,72.42715185457277,5.5
24.54701926773309,108.47286479466004,1,65.15567428891396,5.5
29.127094055037016,111.95838054913298,0,81.57963406325304,5.5
26.198083930243584,169.95263608292706,1,79.46445916246748,5.5
27.124918750620168,52.0008738696431,3,86.6624263299625,5.5
26.194880163311808,114.91233760082382,2,58.68058748965425,5.5
33.55683455352681,144.99350463208836,4,58.33132229313694,5.5
27.9595083257862,207.43123100890693,4,70.641107287614,5.5
24.8268672131323,137.70364804617083,0,73.15159905199339,5.5
30.467634736309567,142.3338316058663,0,66.45547192859922,5.5
24.337469050086934,145.602664801094,2,75.93603949360981,5.5
28.626590785014265,58.815617311113684,3,60.79792892730725,5.5
22.120989628360675,182.95465504624656,2,81.40799661817263,5.5
24.015441853304708,180.87107851056874,3,72.88216235086843,5.5
28.590583707607372,190.72480796433365,0,61.22937580436977,5.5
30.215399739986232,275.2924026514145,3,61.14511063662942,5.5
28.51410484356991,85.07391985063951,2,67.03881737243654,5.5
27.65305515283528,75.59866676971632,2,43.640721005297436,5.5
27.096688913232132,185.29336572994941,1,68.79267965775108,5.5
23.56443402889772,133.1255449407154,3,64.0057429159061,5.5
25.840467374815873,100.71858732315297,0,66.35123730884064,5.5
26.618083687120638,135.87187660895154,4,60.335369816098364,5.5
31.171366678656746,119.08281874541396,1,72.84558744238522,5.5
29.030854868705383,236.23885338985832,0,65.35692954911902,5.5
22.7108795339118,263.09061520116506,0,76.42197814361181,5.5
28.972251908184386,68.22193543282671,0,84.65599613094254,5.5
26.84475315875105,76.17255933666816,3,85.97037692923921,5.5
25.969233999082125,112.03159976840465,0,79.16212899012363,5.5
29.835028866522602,115.5235979160494,4,53.66542452163003,5.5
31.092998567487854,111.23697766507905,4,89.87480617791822,5.5
30.793840357348596,140.28829102282432,2,66.66856495447179,5.5
25.482347430332084,127.65825996390298,1,60.34589226679522,5.5
27.072362872446355,82.3193703552341,4,53.26106614948954,5.5
28.99379029421069,98.65958795680095,3,68.71552050718233,5.5
30.926635381367078,227.31694161047818,1,74.49609536437112,5.5
26.56247728646413,132.12758766326584,3,68.07658619535677,5.5
27.44302307000855,129.56845541870055,4,74.50626224819038,5.5
24.680995077981915,73.97814270862634,1,65.99298796163325,5.5
24.411380127757987,126.83916363479172,4,73.37537451120552,5.5
30.437577467182592,198.04512147837914,0,73.21529854025208,5.5
32.06872008571247,179.7775739234703,1,85.98771619371817,5.5
27.783969635258998,190.55496489867784,4,81.22324342941737,5.5
31.010598693676073,89.8201461961835,3,73.86070184312912,5.5
29.084908075142902,89.01911582980762,1,88.2093004719408,5.5
26.06464073618463,206.6717861087027,1,66.55413267398416,5.5
29.084186816525243,191.31370699338837,1,82.84360798038159,5.5
32.61410969939791,137.07686190921763,2,70.4445441093789,5.5
27.892521882670145,192.65201342245388,0,56.808523058761324,5.5
32.69393096744202,89.85018138731056,1,80.79988563857806,5.5
20.140764687730766,87.77659461012675,4,77.40594848268593,5.5
30.465707513125672,69.12694237426382,3,76.74629983476699,5.5
28.261141204714512,168.07352165018224,4,79.05946573562615,5.5
27.102977948602398,160.83589372190335,2,86.06475897651528,5.5
28.275282329606508,123.87917399095218,1,77.49673738186604,5.5
22.037293256197323,110.98036951942444,0,72.1674268236286,5.5
27.340984336487463,270.7274301931453,3,72.69327256075334,5.5
29.07133771453524,137.04345032058063,2,77.20878471938893,5.5
32.43368213422455,219.40335072669882,1,59.35591494978935,5.5
26.44518934517906,142.68257827752595,0,65.97226464596562,5.5
25.574519191320437,124.96436461056672,3,58.70501870107193,5.5
26.49472886924639,220.8329754903195,3,86.61980623116011,5.5
30.746206353106224,189.49820602079984,3,52.312991404009296,5.5
28.986253328979053,148.7945488501175,3,49.66858675808602,5.5
26.410719388698883,206.6857055876306,0,81.54629514546222,5.5
29.539802299340067,276.0153258087619,1,66.46101825943582,5.5
28.291232648044122,113.38233167389222,1,69.90294245734533,5.5
30.90593497159867,173.58683233726256,0,60.392040014015166,5.5
25.893840718367944,129.53949181291262,3,81.19236861235272,5.5
27.017013560206696,103.27294896158489,4,62.989318141999675,5.5
26.823675540603528,101.88666069419335,3,67.08741289436927,5.5
23.609455155603644,229.61665730092994,1,54.67875882830816,5.5
28.88836083119373,58.76196963468273,0,65.45395444666427,5.5
28.783165816539668,175.39296792333977,3,83.88149282197892,5.5
28.015340369927383,108.7378461189883,0,81.15444623413399,5.5
27.29623859987456,238.62474757839968,3,59.29814436497178,5.5
23.753887773848756,136.34616755328364,4,95.03723770573167,5.5
26.738064031703924,131.7996163358867,0,59.92654320276625,5.5
26.971856450419693,228.47546522471185,4,82.1499742024044,5.5
25.593168192335142,193.84000411561072,0,55.658737724707265,5.5
27.516142865001974,177.71134921813353,3,63.11824511243124,5.5
29.212152570443614,190.2905977752892,0,89.26767791167232,5.5
